meu deus, como estou aborrecida	COMO DEUS MEU ABORRECER
tambem quero acompanhar-te	TAMBEM TU ACOMPANHAR QUERER
senhora ordeno que vos caleis.	MULHER SENHOR VOS ORDENAR CALAR
pelo que vejo, rosa, estás bem decidida a não vir connosco?	{BEM VER DT(R-O-S-A) CONNOSCO DECIDIR VIR NÃO}(q)
e que mais costumas ler?	{QUE MAIS COSTUMAS LER}(q)
que livro estás lendo, com tanta atenção, minha menina?	{LIVRO ATENÇÃO MEU TANTO MULHER MENINO LER}(q)
rosinha, queres ir viver com esta senhora e sua filha?	{DT(R-O-S-I-N-H-A) SEU ESTE MULHER SENHOR MULHER FILHO VIVER QUERER}(q)
este vestido, senhor, foi comprado com as minhas economias.	SENHOR VESTIDO MEU ESTE COMPRAR
estiveste incomodada, minha filha?	{INCOMODAR MULHER FILHO MEU}(q)
assim o espero.	ASSIM O ESPERAR
anda vestir-te.	TU VESTIR ANDAR
faço cestinhos com flores para vender.	CESTINHOS MULHER FLOR VENDER EU FAZER
então quem foi?	ENTÃO IR QUEM (NÃO)
ainda dorme.	AINDA ELE DORMIR
é tão velhinha e tão doente, que vos peço que tenhais piedade dela.	TÃO VELHINHA TÃO DOENTE QUE PEDIDO TER
amas então muito a senhora Teresa?	{ENTÃO MULHER SENHOR DT(T-E-R-E-S-A) AMAR}(q)
vou já bordar um quadro, cópia deste cestinho, que ha-de ficar muito rico.	JÁ CÓPIA HA QUADRO CESTINHO RICO BORDAR FICAR
não, senhora não é esse o meu pensamento, e que me causa tanta alegria.	PENSAMENTO MULHER SENHOR MEU ESSE ALEGRIA TANTO EU CAUSAR (NÃO)
não fui eu que fiz este cestinho, minha mãe.	MEU EU ESTE CESTINHO MÃE FAZER IR (NÃO)
ainda não te contei o encontro, que tive esta manhã.	TU ESTE ENCONTRO MANHÃ CONTAR TER AINDA_{NÃO}(headshake)
Aonde vamos nós, rosa?	{AONDE NÓS ROSA IR}(q)
Em meio caminho, minha avó.	MEIO CAMINHO MULHER AVÔ MEU
jesus senhor, valei-me, pois que as minhas pobres pernas já estão cansadas, e parece-me que não chego ao fim da jornada.	JÁ JESUS SENHOR POIS POBRES MEU EU CANSAR VALER QUE EU FIM JORNADA PARECER CHEGAR (NÃO)
encoste-se ao meu ombro, avózinha, que eu não estou cansada.	EU OMBRO MEU CANSAR ENCOSTAR (NÃO)
tenho muita fome, e muito frio para vencer o caminho	FOME MUITA EU TER FRIO VENCER CAMINHO
avózinha, avózinha, volte a si, que lh'o peço eu.	LH'O AVÓZINHA AVÓZINHA EU SI PEDIR VOLTAR
avózinha, se me abandona, que hei-de fazer?	{SE MULHER AVÔ PEQUENO EU ABANDONAR FAZER}(q)
quer que eu morra de paixão?	{EU MORRER PAIXÃO QUERER}(q)
morrer, tu, minha rosinha, oh!	MEU TU ROSINHA OH MORRER
meu deus, não permitais tal.	TAL DEUS MEU TU PERMITIR (NÃO)
então levante-se que lh'o peço eu.	ENTÃO LH'O EU PEDIR EU LEVANTAR
ai de mim, e a Teresa receber-nos?	{AI EU TERESA RECEBER}(q)
quando eu lhe ia vender flores silvestres, que apanhava no monte, abraçava-me, e dizia-me muitas vezes, que desejava que eu fosse sua filha.	QUANDO EU LHE MULHER FLOR MONTE EU ABRAÇAR VENDER APANHAR MUITAS VEZES QUE EU SEU EU MULHER FILHO DIZER FOSSAR DESEJAR
não duvido que ela te receba, porque és muito linda e agradavel; agora o que eu não creio é que me receba a mim, que sou uma velha e cega, que para nada sirvo.	PORQUE LINDO RECEBER DUVIDAR NÃO AGORA AGRADAVEL EU QUE EU RECEBER EU VELHO CRER NÃO CEGO NADA SERVIR (NÃO)
se assim acontecer, voltaremos à nossa aldeia, e os bons lavradores, que conheceram meus pais, terão piedade de nós, socorrer-nos-hão, e eu trabalharei para lhes pagar, o que eles vos derem.	ASSIM SE NOSSO ALDEIA ACONTECER VOLTAR BOM LAVRADORES PAIS MEU NÓS NÓS NÓS NÓS NÓS NÓS PEDADE TER CONHECER SOCORRER EU ELES VOS O PAGAR TRABALHAR DAR
rosinha, bem queria andar, mas não posso.	BEM DT(R-O-S-I-N-H-A) ANDAR QUERER MAS EU PODER (NÃO)
avózinha, eu já avisto a torre da igreja de são cosme.	JÁ MULHER AVÔ PEQUENO EU IGREJA TORRE COSME AVISTAR
estás bem certa d'isso?	{BEM CERTO D'ISSO}(q)
eu não queria mentir...	EU MENTIR (NÃO)
vamos andando.	ANDAR
