Só bebi três latas de cerveja.	SÓ LATA 3 CERVEJA EU BEBER
Maria não matou o marido dela.	MARIA MARIDO MATAR (NÃO)
Eu insisto que você faça isso hoje.	HOJE VOCÊ FAZER ISSO EU INSISTIR
Tom está sendo muito egoísta, não é?	{TOM EGOÍSTA SER}(q)
Por que Tom precisa desta informação?	{TOM INFORMAÇÃO PRECISAR}(q)
Não consigo me lembrar onde Tom mora.	TOM ONDE MORAR EU LEMBRAR CONSEGUIR (NÃO)
Eu me sinto jovem e cheio de energia.	EU JOVEM CHEIO ENERGIA SENTIR
Não quero parar de fazer isto.	PARAR FAZER ISTO QUERER (NÃO)
Por que Tom está apontando para Maria?	{TOM MARIA APONTAR}(q)
Não quero comer lá novamente.	LÁ NOVAMENTE COMER QUERER(NÃO)
Não quero comer lá de novo.	LÁ NOVO COMER QUERER (NÃO)
Não me lembro onde você trabalha.	VOCÊ ONDE TRABALHAR EU LEMBRAR (NÃO)
Por que Tom precisa dessa informação?	{TOM INFORMAÇÃO PRECISAR}(q)
Não consigo acreditar que Tom comeu tudo isso.	TOM COMER TUDO ISSO EU ACREDITAR CONSEGUIR (NÃO)
Tom tem que ir para a cama.	TOM CAMA IR
O que Tom fará sem Maria?	{TOM MARIA SEM FAZER}(q)
Tom está no supermercado, não é?	{SUPERMERCADO TOM}(q)
Não consigo acreditar que comemos tudo isso.	NÓS COMER TUDO ISSO EU ACREDITAR CONSEGUIR (NÃO)
Tom quer que Maria venha.	TOM MARIA QUERER VIR
Tom está na biblioteca agora, não é?	{TOM AGORA BIBLIOTECA}(q)
Aonde vamos nós, rosa ?	{ONDE NÓS IR ROSA}(q)
Em meio caminho, minha avó.	MEIO CAMINHO AVÓ MEU
jesus senhor, valei-me, pois que as minhas pobres pernas já estão cansadas, e parece-me que não chego ao fim da jornada.	JESUS SENHOR MEU POBRE PERNA CANSADA JÁ VALAR EU FIM JORNADA PARECER CHEGAR (NÃO)
encoste-se ao meu ombro, avózinha, que eu não estou cansada.	AVÓ PEQUENO OMBRO MEU ENCOSTAR EU CANSADA (NÃO)
tenho muita fome, e muito frio para vencer o caminho	FOME FRIO MUITO EU TER CAMINHO VENCER
avózinha, avózinha, volte a si, que lh'o peço eu.	AVÓ PEQUENO AVÓ PEQUENO VOLTAR EU PEDIR
avózinha, se me abandona, que hei-de fazer?	{SE AVÓ PEQUENO ABANDONAR EU HAVER FAZER}(q)
quer que eu morra de paixão?	{EU MORRER PAIXÃO TU QUERER}(q)
morrer, tu, minha rosinha, oh!	MEU ROSA PEQUENO TU MORRER
meu deus, não permitais tal.	MEU DEUS TAL PERMITIR (NÃO)
então levante-se que lh'o peço eu.	ENTÃO LEVANTAR TU PEDIR EU
ai de mim, e a Teresa receber-nos?	{AI EU TERESA NÓS RECEBER}(q)
quando eu lhe ia vender flores silvestres, que apanhava no monte, abraçava-me, e dizia-me muitas vezes, que desejava que eu fosse sua filha.	QUANDO EU FLORES MONTE APANHAR VENDER ABRAÇAR MUITAS VEZES DIZER DESEJAR FILHA SER
não duvido que ela te receba, porque és muito linda e agradavel; agora o que eu não creio é que me receba a mim, que sou uma velha e cega, que para nada sirvo.	PORQUE TU LINDA AGRADAVEL MUITO ELA TU RECEBER EU DUVIDAR (NÃO); AGORA RECEBER EU VELHO CEGO NADA SERVIR CRER (NÃO)
se assim acontecer, voltaremos à nossa aldeia, e os bons lavradores, que conheceram meus pais, terão piedade de nós, socorrer-nos-hão, e eu trabalharei para lhes pagar, o que eles vos derem.	NOSSO ALDEIA NÓS VOLTAR LAVRADORES BOM MEU PAIS CONHECER PIEDADE TER HAVER SOCORRER EU ELES PAGAR O TRABALHO DAR
rosinha, bem queria andar, mas não posso.	PEQUENO ROSA ANDAR QUERER MAS EU PODER (NÃO)
avózinha, eu já avisto a torre da igreja de são cosme.	AVÓ PEQUENO EU TORRE IGREJA COSME AVISTAR
estás bem certa d'isso?	{CERTO ISSO TU}(q)
eu não queria mentir...	EU MENTIR QUERER (NÃO)
vamos andando.	ANDAR VAMOS
China recebe bem convite dos EUA para negociações comerciais	NEGOCIAÇÃO COMERCIAL EUA CONVITE CHINA RECEBER
Quando o eleitor é convocado a escolher o menos pior - Fragilidade de PT e PSDB no mundo pós-Lava Jato abriu espaço para novos competidores nas eleições 2018 e voto útil é antecipado já no primeiro turno	QUANDO ELEITOR MENOS PIOR FRAGILIDADE PT PSDB ESCOLHER CONVOCAR JATO ESPAÇO MUNDO PÓS LAVA ELEIÇÃO 2018 NOVO COMPETIDOR ABRIR JÁ ÚTIL PRIMEIRO VOTO TURNO ANTECIPAR
Roberto Carlos adia show em São Paulo após forte gripe	FORTE GRIPE ROBERTO CARLOS SHOW SÃO PAULO ADIAR
Ministro Dias Toffoli assume comando do STF nesta quinta-feira	MINISTRO DIAS TOFFOLI COMANDO STF QUINTA FEIRA ASSUMIR
Filipinas se preparam para chegada do tufão mais violento do ano	MAIS VIOLENTO TUFÃO ANO FILIPINAS CHEGADA PREPARAR
PODCAST: Bolsonaro ainda pode crescer mais	PODCAST AINDA BOLSONARO MAIS CRESCER PODER
Divergência de número de membros de grupo anti-Bolsonaro gera polêmica nas redes sociais	DIVERGÊNCIA ANTI BOLSONARO NÚMERO MEMBROS GRUPO POLÊMICA REDES SOCIAIS GERAR
