Diana através dos ramos	ATRAVÉS DIANA RAMOS
Espreita a vinda de Endymion	VINDA DT(E-N-D-Y-M-I-O-N) ESPREITAR
Endymion que nunca vem,	ENDYMION VIR NUNCA NÃO
Endymion, Endymion,	ENDYMION ENDYMION
Lá longe na floresta...	LÁ LONGE FLORESTA
E a sua voz chamando	VOZ SEU NOME
Exclama através dos ramos	ATRAVÉS RAMOS ELE EXCLAMAR
Endymion, Endymion...	ENDYMION ENDYMION
Assim choram os deuses...	ASSIM DEUSES ELES CHORAR
A REFORMA DO CALENDÁRIO E AS SUAS CONSEQUÊNCIAS COMERCIAIS	REFORMA DO CALENDÁRIO E AS SUAS CONSEQUÊNCIAS COMERCIAIS
A Comissão Especial de Inquérito à Reforma do Calendário, estabelecida pela Sociedade das Nações em 1924, acaba de publicar o seu Relatório.	SOCIEDADAS NAÇÕES SEU 1924 RELATÓRIO REFORMA DO CALENDÁRIO ESTABELECER PUBLICAR ACABAR
A Comissão era composta do Prof	COMISSÃO COMPOR PROF
van Eysinga, da Universidade de Leyden (presidente); Rev	DT(V-A-N) UNIVERSIDALEYDEN DT(E-Y-S-I-N-G-A) PRESIDENTE REV
T.E.R	TER
Philips, secretário da Real Sociedade Astronómica de Londres, nomeado pelo Arcebispo de Canterbury, chefe da Igreja Inglesa; Rev	SECRETÁRIO REV DT(P-H-I-L-I-P-S) ARCEBISPO CANTERBURY REAL SOCIEDAASTRONÓMICA LONDRES CHEFE IGREJA INGLESA NOMEAR
P	P
Gianfranceschi, presidente da Academia 	PRESIDENTE DT(G-I-A-N-F-R-A-N-C-E-S-C-H-I) ACADEMIA
nomeado pela Santa Sé; Prof	SANTA SÉ PROF NOMEAR
Eginitis, director do Observatório de Atenas, representando o Patriarca Ecuménico de Constantinopla; o Sr	DIRECTOR DT(E-G-I-N-I-T-I-S) OBSERVATÓRIO ATENAS SR REPRESENTAR
Bigourden, antigo presidente da Comissão de Calendário da União Astronómica Internacional; e o Sr	PRESIDENTE DT(B-I-G-O-U-R-D-E-N) ANTIGO SR
Willis H	DT(W-I-L-L-I-S) DT(H)
Booth, antigo presidente da Câmara Internacional de Comércio.	DT(B-O-O-T-H) ANTIGO PRESIDENTE CÂMARA INTERNACIONAL COMÉRCIO
A comissão teve que examinar 185 projectos de Reforma do calendário actual, apresentadas por 33 países diferentes, dos 56 que pertencem à Sociedade das Nações	COMISSÃO 185 PROJECTO 33 CALENDÁRIO PAÍS SOCIEDADAS NAÇÕES EXAMINAR APRESENTAR PERTENCER
Responderam ao questionário detalhado, que se expediu aos 56 países e várias entidades religiosas e não religiosas em todo o mundo, 27 governos, 26 organizações internacionais (incluindo os variados comités nacionais da Câmara Internacional de Comércio), 18 administrações de caminhos-de-ferro, repartições de instrução pública de 23 países, e outras organizações que há menos interesse em citar.	QUESTIONÁRIO 56 PAÍS RESPONDER DETALHAR EXPEDIR VÁRIOS ENTIDADES IGREJA INTERNACIONAL IGREJA NACIONAL MULHER ORGANIZAÇÃO MULHER ORGANIZAÇÃO MULHER ORGANIZAÇÃO TODO O MUNDO 27 GOVERNO 26 PÚBLICO PAÍS INSTRUÇÃO INCLUIR MULHER ORGANIZAÇÃO MENOS OUTRO INTERESSE HAVER CITAR (NÃO)
A origem deste inquérito, cujas consequências práticas e até comerciais convém não deixar de meditar, reside no carácter irregular e defeituoso do Calendário Gregoriano, que presentemente nos mede o tempo	ORIGEM CONSEQUÊNCIAS PRÁTICAS INQUÉRITO ATÉ COMERCIAIS ELE RESIDIR CARÁCTER IRREGULAR MEDITAR CONVIR DEIXAR NÃO PRESENTE DEFEITUOSO CALENDÁRIO GREGORIANO NÓS TEMPO MEDIR (NÃO)
Os defeitos evidentes e capitais do actual calendário são, na opinião da Comissão relatora, a desigualdade dos seus meses, trimestres e semestres, e a sua ausência de “fixidade”	DEFEITOS EVIDENTES OPINIÃO MULHER CAPITAL RELATOR CALENDÁRIO MESES TRIMESTRES DESIGUALDADE SEU
Os meses variam, como toda a gente sabe, quanto ao número de dias de que se compõem, e que vão de 28 a 31, desordenadamente	QUANTO MESES TODA A GENTE SABER NÚMERO DIA VARIAR COMPOR DESORDENADO 28 31 ELES IR
Os trimestres compõem-se, em sua sequência dentro do ano, de 90 (91 em ano bissexto), 91, 92 e 92 dias	DENTRO BISSEXTO TRIMESTRE SEU SEQUÊNCIA ANO 90 91 ANO 91 DIA DIA COMPOR
Isto, afirma a Comissão, é causa de confusão e de incerteza nas relações económicas, nas estatísticas, nas contas, nos dados que registam os movimentos de comércio e de tráfico	ELE ELE AFIRMAR CAUSA COMISSÃO CONFUSÃO INCERTEZA MULHER RELAÇÃO ESTATÍSTICAS DADOS CONTAS MOVIMENTOS COMÉRCIO REGISTAR
Também os cálculos de salários, de juros, de prémios de seguro, de pensões, alugueres e rendas, que se estabeleçam numa base mensal, trimestral ou semestral, resultam necessariamente erróneos, por isso que não correspondem propriamente a períodos de um duodécimo, de um quarto ou de metade do ano	TAMBÉM CÁLCULOS SALÁRIOS SEGURO MULHER PENSÃO ALUGUERES RENDAS MENSAL TRIMESTRAL BASE OU NECESSARIAMENTE SEMESTRAL ERRÓNEOS ISSO PROPRIAMENTE QUARTO RESULTAR CORRESPONDER (NÃO)
Para fazer, com relativo acerto e rapidez, cálculos diários em contas-correntes, têm os bancos que servir-se de tabelas especiais	ACERTO RELATIVO FAZER RAPIDEZ CONTAS-CORRENTES CÁLCULOS BANCOS TABELAS ESPECIAIS TER SERVIR
Além disso, a desigual composição dos meses tem levado as firmas financeiras, na maioria dos países europeus, a calcular as contas-depósito e correntes na base do ano de 12 meses e 30 dias, ou sejam, 360 dias, ao passo que no desconto de letras se conta o ano com o seu número exacto de dias	ALÉM COMPOSIÇÃO ISSO MESES MAIORIA FIRMAS PAÍSES CONTAS DEPÓSITO LEVAR CALCULAR CORRENTE BASE ANO 12 MÊS 30 OU DIA AO PASSO QUE NÚMERO DESCONTO LETRA SEU ELE CONTAR ANO DIA EXACTO
Todas estas circunstâncias assumem proporções quase trágicas no relatório da Comissão, e a tragédia aumenta quando se chega a considerar a falta de fixidez do calendário actual.	QUASE TRÁGICAS CIRCUNSTÂNCIAS TODO ESTE MULHER PROPORÇÃO RELATÓRIO COMISSÃO ASSUMIR TRAGÉDIA AUMENTAR QUANDO FIXIDEZ CALENDÁRIO ACTUAL CONSIDERAR ELE CHEGAR
Devido à circunstância de que o calendário actual não é “fixo”, mas varia de ano para ano, a sua reprodução exacta dá-se apenas de 28 em 28 anos	CALENDÁRIO DEVER CIRCUNSTÂNCIA MAS REPRODUÇÃO ANO ANO SEU APENAS 28 28 ANO VARIAR DAR (NÃO)
Em virtude disto, não podem as datas de acontecimentos periódicos ser, em qualquer caso, claramente determinadas.	CLARO PERIÓDICOS QUALQUER DATAS VIRTUDE EU DISTAR ACONTECIMENTOS CASO DETERMINAR (NÃO)
Cada ano, exemplifica a Comissão, têm as instâncias oficiais que fazer um estudo especial para actos como a convocação do Parlamento (inglês), as datas de feriados, as de mercados e de feiras, ou a fixação da hora de “Verão” — tudo, como o leitor está vendo, de transcendente importância para o presente e o futuro da humanidade	COMISSÃO CADA COMO ACTOS FERIADOS MERCADOS EXEMPLIFICAR TER TER FAZER FEIRAS OU COMO FIXAÇÃO VER TUDO MULHER DE PRESENTE IMPORTÂNCIA PARA
Ora, se o calendário fosse “fixado”, as datas destes grandes acontecimentos ficariam também “fixadas”, duma vez para sempre	ORA CALENDÁRIO FOSSAR ACONTECIMENTOS DATAS VEZ SEMPRE FICAR FIXAR FIXAR
Finalmente — e é esta talvez a principal desvantagem do ponto de vista estatístico e comercial —, não é possível uma verdadeira comparação estatística entre as próprias subdivisões do ano — meses, trimestres, semestres.	FINAL ESTE PRINCIPAL PONTO ESTATÍSTICO DESVANTAGEM COMPARAÇÃO COMERCIAL POSSÍVEL VERDADEIRO ESTATÍSTICO PRÓPRIAS MULHER SUBDIVISÃO MESES ANO TRIMESTRES SEMESTRES (NÃO)
Na opinião da Comissão, a atenção do público, de cuja aprovação tem que depender qualquer reforma do calendário, deve ser chamada exclusivamente (para que possa compreender as suas respectivas vantagens e desvantagens) sobre os princípios fundamentais de três principais sistemas de reforma.	QUE OPINIÃO APROVAÇÃO QUALQUER CALENDÁRIO RESPECTIVO ATENÇÃO ATENÇÃO ATENÇÃO ATENÇÃO COMISSÃO ATENÇÃO ATENÇÃO ATENÇÃO FUNDAMENTAL PRINCIPAL ATENÇÃO PRINCÍPIO SEU DEPENDER NOME COMPREENDER DEVER
O ano compõe-se de 52 semanas — ou sejam 364 dias —, mais 1 ou 2 dias a mais conforme o ano seja normal ou bissexto.	ANO 52 SEMANA COMPOR OU MAIS 364 1 DIA OU MAIS 2 DIA ANO NORMAL
Por isso o problema primacial que, no ver da Comissão, confronta o reformador, é o que é que há-de fazer-se deste um dia, ou dois dias, a mais	PROBLEMA COMISSÃO O ISSO VER 2 REFORMADOR OU OU OU OU DIA MAIS CONFRONTAR FAZER
Os “três principais sistemas de reforma”, a que a Comissão alude no excerto acima feito, foram assim resumidos oficiosamente com uma clareza que nos dispensa de tentar outro assunto:	ASSIM ACIMA DE QUE QUE EM TRÊS CLAREZA QUE FAZER FAZER TENTAR TENTAR
— O primeiro dos três principais sistemas de reforma escolhidos pela Comissão esforça-se por simplificar a reforma o mais possível e por causar a menor perturbação nos hábitos e costumes correntes, pelo processo de igualização de três dos quatro trimestres de que o ano se compõe.	PRIMEIRO PRINCIPAL ESFORÇAR O SIMPLIFICAR MULHER REFORMA REFORMA 3 SISTEMA POSSÍVEL COMISSÃO MAIS ESFORÇAR ESCOLHER MENOR PERTURBAÇÃO HÁBITOS CAUSAR COSTUME ANO PROCESSO 3 IGUALIZAÇÃO 4 TRIMESTRE COMPOR
Assim, cada um dos primeiros trimestres do ano poderia compor-se de 91 dias, ou três meses de 30, 30 e 31 dias	ASSIM PRIMEIRO ANO TRIMESTRE MÊS E DIA 31 ELE COMPOR PODER
O dia suplementar (o 365.º) seria acrescentado no quarto trimestre, que poderia pois compor-se de três meses de 30, 31, e 31 dias (32 em anos bissextos)	POIS DIA TRIMESTRE SUPLEMENTAR MÊS BISSEXTO BISSEXTO BISSEXTO ANO BISSEXTO COMPOR ACRESCENTAR PODER
Este nivelamento dos trimestres teria reais vantagens do ponto de vista das estatísticas trimestrais, das transacções da Bolsa, das contas bancárias e das médias meteorológicas	ESTE NIVELAMENTO TRIMESTRES TRIMESTRAIS MULHER TRANSACÇÃO MULHER TRANSACÇÃO REAIS MULHER VANTAGEM PONTO BANCÁRIAS MULHER TRANSACÇÃO METEOROLÓGICAS CONTAS TER
Acresce que se simplificariam bastante os cálculos para averiguar o dia da semana em que cai cada data	BASTANTE CADA CÁLCULOS ELES SIMPLIFICAR SEMANA DATA AVERIGUAR DIA ACRESCER CAIR
Assim, se o 1.º de Janeiro for domingo, o 1.º de Fevereiro será terça-feira, o 1.º de Março quinta-feira, e assim sucessivamente	ASSIM SE 0 0 0 JANEIRO DOMINGO FEVEREIRO MULHER TERÇA FEIRA MARÇO MULHER QUINTA FEIRA ASSIM ASSIM IR
Finalmente, esse sistema é o que menos altera a tradição	FINAL ESSE SISTEMA O TRADIÇÃO MENOS ALTERAR
A questão, porém, é se as suas vantagens, que são menores que as dos outros dois sistemas, bastam para justificar a mudança.	QUESTÃO SEU PORÉM MULHER VANTAGEM QUE MENOR OUTRO 2 BASTAR JUSTIFICAR QUE
O segundo e terceiro sistemas principais, não só possuem todas as vantagens do primeiro sistema, quanto à igualização das divisões do ano, mas, além disso, estabelecem um calendário perpétuo e rectificam de todo o calendário presente	DOIS NÃO SÓ SISTEMA TODAS AS PRIMEIRO MULHER DIVISÃO MAS ISSO ALÉM ESTABELECER MULHER VANTAGEM QUANTO CALENDÁRIO PERPÉTUO POSSUIR MAS TODO CALENDÁRIO PRESENTE RECTIFICAR
Este resultado obtém-se tornando o dia suplementar do ano (o 365.º) um dia em branco — isto é, pondo-o fora da semana, como, por exemplo, entre 31 de Dezembro e 1 de Janeiro	RESULTADO O ESTE TORNAR DIA SUPLEMENTAR ANO COMO SEMANA DEZEMBRO JANEIRO OBTER
A introdução do dia em branco quebra, porém, a perpetuidade do ciclo das semanas, e levanta certas dificuldades de ordem religiosa, sobretudo nos meios judaicos.	INTRODUÇÃO CICLO DIA BRANCO PORÉM QUEBRA PERPETUIDADE SEMANAS PORÉM SOBRETUDO IGREJA MEIOS CERTO JUDAICOS DIFICULDADES ORDEM LEVANTAR
Seria o ano dividido em quatro trimestres iguais de 91 dias, compondo-se cada trimestre de três meses de 30, 30 e 31 dias (exactamente como os três primeiros trimestres do primeiro sistema)	IGUAL ANO CADA 4 TRIMESTRE SISTEMA SISTEMA SISTEMA SISTEMA SISTEMA SISTEMA SISTEMA SISTEMA MÊS DIA SISTEMA TRIMESTRE DIVIDIR COMPOR
O dia suplementar do ano (o 365.º) seria contado fora da semana	FORA DIA 0 SUPLEMENTAR ANO SEMANA CONTAR
