ALGUM COISA TENTAR	Vamos tentar alguma coisa!
EU PRECISAR DORMIR	Preciso ir dormir.
SINAL SIGNIFICAR	O sinal '&' significa 'e'.
MARCA SIGNIFICAR	A marca '&' significa 'e'.
UFA LADEIRA ESTE DIFÍCIL MAS VOLTA MOLEZA	Ufa! Esta ladeira está difícil. Mas a volta será moleza.
CUSTO CADA REALIDADE VIDA SEMANA SUBIR	Na realidade, o custo de vida está subindo cada semana.
ELE UM POUCO VERDADE HAVER DIZER	Há um pouco de verdade no que ele está dizendo.
MÉDICO RECEITA PEGAR ELE IR	Vai ao médico pegar a receita!
BOB 0 LIBRA 50 DIZER	Bob diz: "Quatro libras e cinquenta".
QUANDO CUIDADOSO EU VELEJAR TER 17 IDADE ANO MEDITERRÂNEO ESCUNA LENTO CUIDADOSO VELEJAR RECITAR	Quando tinha 17 anos de idade, velejei pelo Mediterrâneo numa escuna, ela recitou lenta e cuidadosamente.
DOR COSTAS MORRER	Estou morrendo de dor nas costas.
TAL COMO JOHN CASA LHE DIZER FICAR	John ficou em casa tal como lhe foi dito.
MURIEL 20 ANO COMPLETAR	Muriel completou 20 anos.
EM BREVE EU VOLTAR	Voltarei em breve.
EU NÃO_SABER {NÃO}(headshake)	Não sei.
{O FAZER}(q)	O que está fazendo?
HOJE DIA 18 ANIVERSÁRIO JUNHO MUIRIEL	Hoje é dia 18 de junho, aniversário do Muiriel!
FELIZ ANIVERSÁRIO MUIRIEL	Feliz aniversário, Muiriel!
SENHA MUIRIEL	A senha é "Muiriel".
O EU DIZER PODER	O que eu poderia dizer...
EU MONTANHA IR	Eu fui na montanha.
PRISIONEIRO CALADA NOITE ESCAPAR	O prisioneiro escapou na calada da noite.
QUANDO PESSOA ELES TER ELAS SUPÉRFLUO OPINIÃO	Quando duas pessoas têm a mesma opinião, uma delas é supérflua.
{VOCÊ TELESCÓPIO DIFERENÇA MICROSCÓPIO SABER}(q)	Você sabe a diferença entre um microscópio e um telescópio?
RECEITA ESTE VOCÊS GOURMETS ROMÊNIA EQUIPAR TESTAR	Esta receita foi testada para vocês por uma das melhores equipes de gourmets da Romênia.
TU BOCADO TEMPO TER	Tu tinhas um bocado de tempo.
CHUVA NÓS IR MAS NÓS VOLTAR	Fomos com chuva mas voltamos com sol.
