Bom dia, Mike.	BOM DIA MIKE
Essa é a minha escolha.	ESSA ESCOLHA MEU
Eu escolho esse.	EU ESSE ESCOLHER
A foto me traz de volta aos meus tempos de criança.	FOTO VOLTA MEU EU TEMPOS CRIANÇA TRAZER
A fotografia me leva de volta à minha infância.	FOTOGRAFIA VOLTA MEU EU INFÂNCIA LEVAR
Eu devo ter passado da estação enquanto estava dando um cochilo.	EU ESTAÇÃO PASSADO DEVER ENQUANTO COCHILO DAR
Eu queria mais manteiga.	EU MANTEIGA MAIS QUERER
Eu amo sobretudo esse livro.	SOBRETUDO EU ESSE LIVRO AMAR
Você vai se sentir melhor.	VOCÊ MELHOR SENTIR
Você se sentirá melhor.	VOCÊ MELHOR SENTIR
Ele colocou o anel no dedo de Mary.	ELE ANEL DEDO MARY COLOCAR
Hoje é 18 de junho e é aniversário de Muiriel!	HOJE 18 JUNHO ANIVERSÁRIO MUIRIEL
Não tenho palavras.	PALAVRAS EU NÃO_TER {NÃO}(headshake)
Isso nunca acaba.	ISSO ACABAR NUNCA NÃO
Eu simplesmente não sei o que dizer...	O EU DIZER SABER AINDA_{NÃO}(headshake)
O cachorro dele o segue aonde ele for.	AONDE CACHORRO ELE ELE IR SEGUIR
Saia do meu caminho, garoto.	SAIA CAMINHO GAROTO MEU
Eu comprei um par de botas.	EU PAR BOTAS COMPRAR
A questão é se ela virá ou não.	QUESTÃO OU VIR (NÃO)
Quanto tempo eu ainda vou ter que ficar no hospital?	AINDA EU TEMPO HOSPITAL FICAR QUANTO (NÃO)
"Você tem alguma coisa para fazer?" "Nada de especial."	VOCÊ ALGUM COISA TER FAZER NADA ESPECIAL
Vamos!	NÓS IR
Quem sou eu?	EU QUEM (NÃO)
O rio flui rapidamente.	RAPIDAMENTE RIO FLUIR
Eles são japoneses ou chineses?	{ELES CHINESES JAPONESES OU}(q)
Tantos países, tantos costumes.	COSTUMES TANTO TANTO PAÍSES
Eu cortei meu cabelo num salão.	EU CABELO SALÃO MEU CORTAR
O tempo está ruim ultimamente.	ULTIMAMENTE TEMPO RUIM
Eu cortei meu cabelo no cabeleireiro.	EU CABELO CABELEIREIRO MEU CORTAR
Meus tempos de escola serão umas das minhas lembranças mais felizes.	TEMPOS MEU ESCOLA MEU FELIZES LEMBRANÇAS MAIS
Feche a porta quando sair.	PORTA EU FECHAR QUANDO SAIR
Meus pais são idosos.	PAIS IDOSOS MEU
Ele deve conseguir a bolsa de estudos.	ELE BOLSA ESTUDOS CONSEGUIR DEVER
A beleza da cena não podia ser descrita.	BELEZA CENA DESCREVER PODER (NÃO)
Eu encontrei seu casaco depois de você ter saído da casa.	EU CASACO SEU ENCONTRAR DEPOIS VOCÊ CASA SAIR
Eu não li um livro ontem.	ONTEM EU LIVRO LER (NÃO)
Por favor, não siga este conselho.	CONSELHO ESTE FAVOR SEGUIR (NÃO)
O diamante foi colocado em um anel de ouro.	DIAMANTE ANEL OURO COLOCAR
Oi.	OI
Alô.	ALÔ
Você fala inglês?	{VOCÊ INGLÊS FALAR}(q)
Você já leu o jornal de hoje?	{HOJE VOCÊ JORNAL JÁ LER}(q)
Posso te pedir um favor?	{FAVOR PEDIR EU PODER}(q)
Você deveria ir dormir.	VOCÊ DORMIR DEVER
Boa noite. Bons sonhos.	BOM NOITE BOM SONHOS
Boa noite. Sonhe com os anjos.	BOM NOITE ANJOS ELE SONHAR
Não sei se tenho tempo.	EU TER TEMPO NÃO_SABER {NÃO}(headshake)
Eu estava nas montanhas.	EU MONTANHAS
É verdade, infelizmente.	INFELIZ VERDADE
Meu nome é Jack.	NOME JACK MEU
Isso não vai acontecer.	ISSO ACONTECER (NÃO)
Onde está o problema?	PROBLEMA ONDE (NÃO)
Onde é o problema?	PROBLEMA ONDE (NÃO)
Tem certeza?	{CERTEZA ELE TER}(q)
Você está certo disso?	{VOCÊ CERTO ISSO}(q)
Sério?	{SÉRIO}(q)
Bom dia!	BOM DIA
É uma foto recente?	{FOTO RECENTE}(q)
A educação nesse mundo me decepciona.	EDUCAÇÃO ESSE MUNDO EU DECEPCIONAR
É muito caro!	CARO
Nem todos os pássaros voam.	NEM TODO PÁSSAROS VOAR
Olha, uma borboleta!	OLHA BORBOLETA
Por favor, não chore.	FAVOR ELE CHORAR (NÃO)
E daí?	{AÍ}(q)
E agora?	{AGORA}(q)
É porque você é menina.	PORQUE VOCÊ MENINO
O céu é azul.	CÉU AZUL
Isso não é importante.	ISSO IMPORTANTE (NÃO)
Isso não importa.	ISSO IMPORTAR (NÃO)
Vai custar €30.	0 CUSTAR
Qual é o seu nome?	NOME SEU QUAL (NÃO)
Como você se chama?	VOCÊ NOME COMO (NÃO)
Você é de onde?	VOCÊ ONDE (NÃO)
Parabéns.	PARABÉNS
Meus parabéns!	PARABÉNS MEU
Você vem de onde?	VOCÊ VIR ONDE (NÃO)
Mas ele foi sortudo.	MAS ELE SORTUDO IR
Todo mundo quer te conhecer. Você é famoso!	TODO MUNDO CONHECER QUERER VOCÊ FAMOSO
